question_number,question_text,question_category,year,source,sub_category
1,"Consider the following statements:
Statement-I: The atmosphere is heated more by incoming solar radiation than by terrestrial radiation.
Statement-II: Carbon dioxide and other greenhouse gases in the atmosphere are good absorbers of long wave radiation.
Which one of the following is correct in respect of the above statements?
(a) Both Statement-I and Statement-II are correct and Statement-II explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct",Geography,2024,Notes,Physical Geography
2,"Consider the following statements:
Statement-I: Thickness of the troposphere at the equator is much greater as compared to poles.
Statement-II: At the equator, heat is transported to great heights by strong convectional currents.
Which one of the following is correct in respect of the above statements?
(a) Both Statement-I and Statement-II are correct and Statement-II explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct",Geography,2024,Notes,Physical Geography
3,"Consider the following:
1. Pyroclastic debris
2. Ash and dust
3. Nitrogen compounds
4. Sulphur compounds
How many of the above are products of volcanic eruptions?
(a) Only one
(b) Only two
(c) Only three
(d) All four",Geography,2024,Notes,
4,"Which of the following is/are correct inference/inferences from isothermal maps in the month of January ?
1. The isotherms deviate to the north over the ocean and to the south over the continent.
2. The presence of cold ocean currents, Gulf Stream and North Atlantic Drift make the North Atlantic Ocean colder and the isotherms bend towards the north.
Select the answer using the code given below :
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Geography,2024,Notes,Physical Geography
5,"Which of the following countries are well known as the two largest cocoa producers in the world ?
(a) Algeria and Morocco
(b) Botswana and Namibia
(c) Côte d'Ivoire and Ghana
(d) Madagascar and Mozambique",Geography,2024,Notes,
6,"With reference to the Himalayan rivers joining the Ganga downstream of Prayagraj from West to East, which one of the following sequences is correct?
(a) Ghaghara – Gomati – Gandak – Kosi
(b) Gomati – Ghaghara – Gandak – Kosi
(c) Ghaghara – Gomati – Kosi – Gandak
(d) Gomati – Ghaghara – Kosi – Gandak",Geography,2024,Notes,Indian Geography
7,"Consider the following statements:
Statement-I: Rainfall is one of the reasons for weathering of rocks.
Statement-II: Rain water contains carbon dioxide in solution.
Statement-III: Rain water contains atmospheric oxygen.
Which one of the following is correct in respect of the above statements?
(a) Both Statement-II and Statement-III are correct and both of them explain Statement-I
(b) Both Statement-II and Statement-III are correct, but only one of them explains Statement-I
(c) Only one of the Statements II and III is correct and that explains Statement-I
(d) Neither Statement-II nor Statement-III is correct",Geography,2024,Notes,
8,"Consider the following countries :
1. Finland
2. Germany
3. Norway
4. Russia
How many of the above countries have a border with the North Sea ?
(a) Only one
(b) Only two
(c) Only three
(d) All four",Geography,2024,,Mapping
9,"Consider the following information :
Waterfall	Region	River
1. Dhuandhar	Malwa	Narmada
2. Hundru	Chota Nagpur	Subarnarekha
3. Gersoppa	Western Ghats	Netravati
In how many of the above rows is the given information correctly matched?
(a) Only one
(b) Only two
(c) All three
(d) None",Geography,2024,,Indian Geography
10,"Consider the following information :
Region        Name of the mountain range        Type of mountain
1. Central Asia        Vosges        Fold mountain
2. Europe        Alps        Block mountain
3. North America        Appalachians        Fold mountain
4. South America        Andes        Fold mountain
In how many of the above rows is the given information correctly matched?
(a) Only one
(b) Only two
(c) Only three
(d) All four",Geography,2024,Notes,Mapping
