Year,Section,Topic No.,Essay Topic
2025,Section A,1,Truth knows no color.
2025,Section A,2,The supreme art of war is to subdue the enemy without fighting.
2025,Section A,3,Thought finds a world and creates one also.
2025,Section A,4,Best lessons are learnt through bitter experiences.
2025,Section B,5,Muddy water is best cleared by leaving it alone.
2025,Section B,6,The years teach much which the days never know.
2025,Section B,7,"It is best to see life as a journey, not as a destination."
2025,Section B,8,Contentment is natural wealth; luxury is artificial poverty.
2024,Section A,1,Forests precede civilizations and deserts follow them.
2024,Section A,2,The empires of the future will be the empires of the mind.
2024,Section A,3,There is no path to happiness; Happiness is the path.
2024,Section A,4,The doubter is a true man of science.
2024,Section B,5,"Social media is triggering 'Fear of Missing Out' amongst the youth, precipitating depression and loneliness."
2024,Section B,6,"Nearly all men can stand adversity, but to test the character, give him power."
2024,Section B,7,All ideas having large consequences are always simple.
2024,Section B,8,The cost of being wrong is less than the cost of doing nothing.
2023,Section A,1,"Thinking is like a game, it does not begin unless there is an opposite team."
2023,Section A,2,Visionary decision-making happens at the intersection of intuition and logic.
2023,Section A,3,Not all who wander are lost.
2023,Section A,4,Inspiration for creativity springs from the effort to look for the magical in the mundane.
2023,Section B,5,"Girls are weighed down by restrictions, boys with demands – two equally harmful disciplines."
2023,Section B,6,Mathematics is the music of reason.
2023,Section B,7,A society that has more justice is a society that needs less charity.
2023,Section B,8,Education is what remains after one has forgotten what one has learned in school.
2022,Section A,1,Forests are the best case studies for economic excellence.
2022,Section A,2,Poets are the unacknowledged legislators of the world.
2022,Section A,3,History is a series of victories won by the scientific man over the romantic man.
2022,Section A,4,"A ship in harbour is safe, but that is not what ship is for."
2022,Section B,5,The time to repair the roof is when the sun is shining.
2022,Section B,6,You cannot step twice in the same river.
2022,Section B,7,A smile is the chosen vehicle for all ambiguities.
2022,Section B,8,"Just because you have a choice, it does not mean that any of them has to be right."
2021,Section A,1,The process of self-discovery has now been technologically outsourced.
2021,Section A,2,Your perception of me is a reflection of you; my reaction to you is an awareness of me.
2021,Section A,3,"Philosophy of wantlessness is Utopian, while materialism is a chimera."
2021,Section A,4,The real is rational and the rational is real.
2021,Section B,5,Hand that rocks the cradle rules the world.
2021,Section B,6,"What is research, but a blind date with knowledge!"
2021,Section B,7,"History repeats itself, first as a tragedy, second as a farce."
2021,Section B,8,"There are better practices to ""best practices""."
